,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
83,Philippe_04,Titanium dioxide,13463-67-7,0.0498,10,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
84,Philippe_05,Titanium dioxide,13463-67-7,0.04492,16.3,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
85,Philippe_06,Titanium dioxide,13463-67-7,0.06768,19.1,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
86,Philippe_07,Titanium dioxide,13463-67-7,0.07764,21.3,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
87,Philippe_08,Titanium dioxide,13463-67-7,0.05696,16.5,79.867,1843,2972,4.23,PC.2900.010.001.F,PC,sunscreen ,sunscreen ,child,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
88,Philippe_09,Titanium dioxide,13463-67-7,0.14372,30.9,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
89,Philippe_10,Titanium dioxide,13463-67-7,0.06292,39.2,79.867,1843,2972,4.23,PC.2900.010.001.F,PC,sunscreen ,sunscreen ,child,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
90,Philippe_11,Titanium dioxide,13463-67-7,0.0738,18.3,79.867,1843,2972,4.23,PC.2900.010.001.F,PC,sunscreen ,sunscreen ,child,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,uv_stabilizer,1,0,1
91,Rogers_01,Silver,7440-22-4,0.00012,115,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
92,Rogers_02,Silver,7440-22-4,0.0001,200,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
